keyword,response
greeting_hello,"Hello! How are you doing today?"
greeting_hi,"Hi there! How can I support you today?"
greeting_morning,"Good morning! I hope today goes well for you."
greeting_evening,"Good evening! How has your day been?"
greeting_night,"Good night! Wishing you a calm and restful evening."
hello,"Hello! How are you doing today?"
hi,"Hi there Rafiki. How is your day going?"
hey,"Hey! Nice to hear from you."
i_am_good,"That's great! I am happy to hear you are doing well."
okay,"Alright Rafiki. I am here if you need me."
okay_bye,"Goodbye, Rafiki. Take care, and remember you are doing great."
bye,"Goodbye! Wishing you peace and comfort today."
good_night,"Good night Rafiki. Rest well and take care."
good_morning,"Good morning Rafiki. Wishing you and your child a positive day ahead."
i_am_so_stressed,"I am sorry you are feeling stressed. Would you like me to share a calming tip?"
i_am_sad,"I hear you Rafiki. It's okay to feel sad. You are not alone. Would you like to share what is bothering you?"
i_am_tired,"You must be exhausted. Please remember to rest whenever you can."
screaming,"Children with autism may scream when overwhelmed or overstimulated. Try calming strategies such as reducing noise, dimming lights, giving them a safe space, or using a comfort item."
meltdown,"During a meltdown, stay calm, avoid punishment, and ensure safety. Reduce demands, move to a quiet environment, and reassure your child."
diagnosis,"Only a qualified clinician can provide a diagnosis. In Kenya, you can seek assessments at: Kenya Institute of Special Education (KISE), Kaizora Centre, or other child development clinics."
therapy,"Therapies that may help include speech therapy, occupational therapy, and behavioral interventions. In Kenya, you can check KISE, Kaizora, or local hospitals."
communication,"You can support communication using visual aids, sign language, or simple speech. Consistency and patience are key."
routines,"Children often benefit from structured routines. Use visual schedules, consistent meal/bedtime patterns, and clear transitions."
school,"When preparing for school, talk to teachers about your child's needs, provide visual aids, and consider special education support if available."
resources,"You can find local support at Autism Society of Kenya, Differently Talented Society of Kenya, and Step by Step Autism Society."
sleep,"Sleep difficulties are common. Try consistent bedtime routines, limit screen time before bed, and use calming activities."
eating,"Many autistic children are picky eaters. Introduce new foods slowly, keep mealtimes calm, and respect sensory sensitivities."
toilet,"Toilet training can take time. Use visual schedules, rewards, and consistency. Be patient and avoid punishment for accidents."
aggression,"Aggression may signal frustration or unmet needs. Try to identify triggers, teach calming strategies, and ensure safety first."
anxiety,"Children with autism may have high anxiety. Consistent routines, quiet spaces, and relaxation activities can help."
siblings,"Siblings may need extra support. Explain autism in simple terms, encourage shared play, and give each child special time with you."
play,"Play helps social skills. Use structured games, role-play, and encourage turn-taking."
language,"If speech is delayed, encourage pictures, gestures, or AAC apps. Work closely with a speech therapist if possible."
